title,company,location,category,jobtype,salary,jd,avgsalary,mainloc,mainlocation
Logistic Executive,Amtel Cellular Sdn Bhd,"SHAH ALAM, SELANGOR",Other (Information & Communication Technology),Full time,3000-3500,"Tasks and responsibilitiesTo Assist in overseeing the operations of the warehouseAssist in carrying out receiving and binning operations in accordance of warehouse operation procedures including delivery of stocks to customers.To ensure that stock levels are monitored manually and by software to maintain stock accuracy & integrity at all timesTo be able to utilize computer for documentation of information of receipt and dispatch of stock from warehouse.To assist Assistant Manager to measure and report the effectiveness of warehouse activities and employees’ performance where appropriate.To identify areas of improvement and carry out kaizen (continuous improvements activities) to ensure operation of warehouse.To establish visual monitoring tools and warehouse operation standards further enhance warehouse operation.To maintain records and document necessary as per QMS and utilize reports to project warehouse status.To assist in preparing proposals and other necessary documentation for warehouse improvement activities, warehouse purchases and expansion related activities.Ensure proper documentations are done for future traceability.Oversee planned maintenance of vehicles and housekeepingTo supervise and train store personnel to carry out their jobs effectively.To ensure daily cycle count is carried out effectively and any discrepancy found attended to promptly report to related department.To monitor and verify material accuracy to ensure all material are controlled, stored and segregated properly.Timely and accurate monthly reporting to managementPerform other job duties as requested by the immediate Superior / HODCiteria and requirementsMore than 3 years working experience in Warehouse & InventoryDiploma/Degree in Supply Chain, Logistics or related.  ",3250,SELANGOR,SELANGOR
Executive (Digital & Analytics),KLCC (Holdings) Sdn Bhd,KUALA LUMPUR,Other (Information & Communication Technology),Full time,,"Job Purpose:Perform Digital and IT audits, cybersecurity audits, data analytics work and routine to support audit activities performed by the Internal Audit team, to identify process improvement opportunities.Accountabilities:Assist Digital and Analytics Manager in formulating comprehensive Digital Audit Roadmap and masterplan, and Digital Audit Plan.Assist Digital and Analytics Manager in continuous review and enhancement of the Digital Audit framework, approach & methods.Draft and upkeep Internal Audit Policies, Procedures & Guidelines, and comprehensive manual, to ensure that Digital Audits and analytics effectively support the assurance given to the BACs that Governance, Risk management and Controls (""GRC"") activities are effectively implemented.Identification and establishment of the required architecture and infrastructure (including the tools and data) to facilitate Digital Audits and analytics, and to develop the necessary relationships with management in order to gain access to required data.Design the development of advance analytics by analysing big data through analytics approach, innovating operational audit process, robotic process automation and others, for a more efficient and comprehensive Internal Audit.Execution of Digital Audits and analytics by planning the audit scope, gaining a holistic understanding of the business, the risk faced, and controls put in place, to ensure comprehensive scope and effective method is deployed to address risks, and to formulate practical recommendations to managements, to enable successful completion of Audits.Communicate and syndicate on a timely basis, with Internal Audit teams to synchronize and align understanding on the results of analytics, including the risks and impact to the business, and impact to other planned audits as per the Annual Audit Plan (""AAP"").Engage and syndicate with internal and external stakeholders to gain insight and/or to provide advisory; syndications for impactful and effective deliberations to derive appropriate audit recommendations / gain buy in on audit recommendations.Providing clear and concise audit reporting and presentation to management and BOD/BACs to ensure that they are sufficiently informed on the state of controls and mitigations identified and its effectiveness in addressing key risks faced by the relevant entities, in order to facilitate effective business decision-making for organizational value protection.Requirements:Bachelor's or Master's Degree, Information Technology or Computer Science degrees required. CISA / CRISC / CISM, CISSP is preferred.At least 8-10 years Detailed knowledge of auditing applications and Infrastructure, IT project management, general IT controls, and security spanning data networks, firewalls and the various operating systems, databases and middleware.Strong people management skills to establish good relationship with audit client for better cooperation and a successful audit.Experienced with auditing leveraging the use of data analytics tools is a must (e.g. MS Excel tools, ACL, IDEA, Tableau, Qlikview, etc.)",0,KUALA LUMPUR,KUALA LUMPUR
Executive - Technical Support,Sime Darby Beyond Auto Sdn Bhd,"PETALING JAYA, SELANGOR",Help Desk & IT Support (Information & Communication Technology),Full time,,"Job PurposeManage and plan for the Technical Support.Liaise with all the retail technical team to resolve technical matters in the branches / dealers.Ensure dealers follow the aftersales technical guidelines and process developed by SDBA and BYD Principal.Resolve the critical technical issues from the dealers based on the technical report.Provide a high-quality technical report to the BYD Principal for addressing or enhancing unresolved technical issues.Job ContentLiaise with overseas and local suppliers pertaining on mandatory equipment for new / existing Service Dealers operation usage.Conduct accessory evaluation on the quality, durability and functionality based on the field feedback and liaison with supplier to improve the quality.Observe and develop S.O.P to improve the after-sales operation process and technical process.Conduct monthly meeting to follow up the outstanding issue. Conduct periodical visit to evaluate / assess Service Dealer’s premises, operations and monitoring their performance through ‘Monthly Dealer Performance.Monitor Quality Information Report (QIR) feedback and engage with Principal if the quality issue is critical. Ensure critical technical problems are solved which are raised by branches and dealers.Prepare a case study based on the findings from the field and liaise with BYD Principal and share with other dealers in order to reduce their diagnostic time.Provide technical investigation if required.Provide technical support to Service Dealers and Branch.Ensure all the hotline cases are replied within the time frame and closed within 6 days after writing and tele-conversation with relevant parties.Liaise with principal technical team in relate with technical matters.OthersResponsibility for Environment, Safety and Health to ensure a safe working environment for all employees, whilst complying with local legal requirements.Collaborate with multi-departments and stakeholders for development, coordination of Aftersales Initiative/Accessories/Campaigns/Product and Service.Knowledge & Skills requiredBachelor’s degree in Business Management, Automotive Engineering or related fieldAt least 2 years Professional ExperienceExperience and training in automotive technical diagnosticFlexible thinking",0,SELANGOR,SELANGOR
IT Support Engineer,CENTIFIC GLOBAL SOLUTIONS (M) SDN. BHD.,"GEORGE TOWN, PENANG",Help Desk & IT Support (Information & Communication Technology),Full time,3500-4000,"Centific Global Solutions is seeking a highly skilled and motivated IT Support Engineer to join our dynamic team. The ideal candidate will be responsible for providing technical assistance and support to our internal users, ensuring smooth operation of all computer systems and networks. Job Responsibilities:Conduct on-site warranty evaluations and repairs for company-owned IT equipment.Perform routine system maintenance tasks and ensure timely updates as necessary.Provide comprehensive AV troubleshooting support, including video conferencing, and audio-conferencing room systems, projectors, digital screens, and other related equipment.Deliver timely and effective technology support to staff, including troubleshooting operating systems, applications, and network issues, as well as assisting with application use and software installation.Maintain and troubleshoot printer provisions for staff members.Job Requirements:Bachelor's degree in Computer Science, Information Technology, or related field.Minimum of 2 to 3 years of hands-on experience in IT support role.Excellent proficiency in English communication; fluency in Malay is preferred, with knowledge of Chinese is an advantage.Demonstrated ability to quickly learn new technologies and adapt positively to changing demands and priorities.Strong understanding of networking principles and protocols.Experience in managing company assets, including registration, updating, monitoring, auditing, and reporting.Competence in imaging and reimaging laptops and desktops (Windows and macOS), along with software installation and updates.Able to provide guidance to staff on best practices, policies, and process improvements.Able to work collaboratively and effectively in a team environment. About Centific Centific is a global digital technology services company with solutions across various industries. Led by a people-first, intelligence-driven approach, Centific enables experiences that help brands thrive in a sustainable and meaningful way, working to create long-term value and loyal customers for our clients – now and in the future. With clarity of vision, technological expertise, and operational excellence, Centific is the partner of choice for those who want to run smarter - and those who want to change the race. Our diverse team of over 3,800 people works to deliver on the promise of technology and human-centricity every day. Are you ready to start solving today’s industry-specific challenges with tomorrow’s cognitive technology? Lets talk.Your Authentic Self at Centific Centific is committed to creating a diverse environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. Centific is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3750,PENANG,PENANG
Associate - Business Analyst,Magnum 4D Berhad,KUALA LUMPUR,Business/Systems Analysts (Information & Communication Technology),Full time,,"JOB RESPONSIBILITIES:Perform detailed business requirements analysis.Develop and implement data-driven solutions to fulfill business requirements.Analyzing and transforming the extracted data to provide actionable insights on informed decisions and supporting business growth.Track and monitor monthly product performance analysis.Evaluate, identify, and implement opportunities for process improvements.Develop and maintain dashboards, reports, and data models to provide insights to stakeholders to assist the company carrying out predictive analysis and risk management on its business.Conduct market research and analysis to identify trends and opportunities.Continuously update and keep the data fresh and relevant.To provide programming expertise to extract data from other sources (if relevant) to be included in the data analytics.To conduct assessment / review project deliverables throughout the project lifecycle including post campaign analysis.To monitor and support the safety and integrity of the information that you are working on.To comply with the Company’s code of conduct, policies, procedures, instructions of the Company and lawful directions that relate to your employment and duties, which includes any amendments thereto.To perform any other duties that the management may direct from time to time.JOB REQUIREMENTS:Bachelor’s Degree in business/ computer science or related field.Minimum 2 years of experience in data analysis and business intelligenceKnowledge of data visualization software such as Tableau, Qlik, Power BI, Looker, tracking platform such as Google Analytics and MS Office ToolsExperience in statistical analysis and predictive modelling techniques.Strong attention to detail and ability to work independently and collaboratively.Excellent communication and problem-solving skills with ability to collaborate effectively with cross functional teams.",0,KUALA LUMPUR,KUALA LUMPUR
Junior System Support (Application),City-Link Express (M) Sdn Bhd,"SHAH ALAM/SUBANG, SELANGOR",Networks & Systems Administration (Information & Communication Technology),Full time,2500-3000,"QualificationsCandidate must possess at least a Bachelor's Degree in Computer Science OR CAN OR CompTIA A+ Networking is an advantageMinimum 2 years(s) of working experience in the related field; practical experience of Windows Server, SQL Server, IIS and networkingGood command in written and spoken English, Bahasa Malaysia and Mandarin is an advantageRequirementsWork hour starting from 8.35am until 5.45pm (MON to FRI)Work on standby during weekends & public holidays in rotation basisWorking knowledge of Microsoft Windows desktop, server operating systems Working experience in ICT system integration and end-user application support environmentWorking experience with MSSQL SSIS or ETL tool, translate business requirement into scope of work Revise and improves the existing EDI / SSIS scripting process and procedure for new customerWorking knowledge in Microsoft Excel MacroExcellent analytical and problem-solving skillsUnderstanding of software development cycleTo prioritize, plan and execute work scheduleResponsibilitiesProvide pre-sales support on customer’s API requirements.To provide application support including issue investigation, diagnosis of root causes and implementation of solutionsTo plan and conduct software testTo conduct user-training sessions as required for new applicationsTo document implemented systemsTo document resolutions for future referenceTo provide first level application support for all incoming requests in a professional and courteous mannerTo carry out any other duties as assigned by the supervisor from time to time and whenever necessary to avoid operation disruption  ",2750,SELANGOR,SELANGOR
IT Business Analyst,VISION CABIN SOLUTIONS SDN. BHD.,KUALA LUMPUR,Business/Systems Analysts (Information & Communication Technology),Full time,4500-6000,"Job ScopeThe successful candidate will be responsible for conducting research, analyzing business requirements and designing business process of the Company.Key ResponsibilitiesCapture user requirement and translate the business requirement into use cases or functional specifications.Participate in gap analysis on new and existing applications.Assist QAT, UAT and conduct user training.Collaborate and coordinate closely with other departments for project delivery.Communicate and maintaining good relationship with stakeholder and developersDelivering quality services to client.Require to analyse requirement and design the business processes.Manage project team and project timeline.Junior executives are also encouraged to apply.",5250,KUALA LUMPUR,KUALA LUMPUR
Data Analyst,Rocketsview Management Sdn Bhd,"KUCHAI LAMA, KUALA LUMPUR",Business/Systems Analysts (Information & Communication Technology),Full time,3500-4500,"Your Role:Design, manages and maintains dashboards, visualizations and data models as part of the management of a portfolio of data & analytics products.Supports ongoing insight analytics product management, business intelligence and reporting teams and product lifecycle activities associated with data and analytical assets.Defines and structures complex business problems to understand what can be addressed using analytics, designs analytics solutions and accesses and cleans data to prepare it for the analysis process.Develops and manages dashboards using Power BI and other visualization products in accordance with the data and visualization standards.Collaborates with stakeholders to understand business goals, business problems, gather improvement requirements, recommend and implement innovative solutions to data and visualization products. About You:Over 3 years of relevant analytics experience.Proficient in data visualization tools with strong technical design skills.Experienced with Tableau, PowerBI, relational databases, SQL, and Python.Skilled in data collection, organization, analysis, visualization, and presentation.Confident and effective communication skills.Ability to optimize dashboards with significant data volumes. About Us:We foster a 90's & 00's youthful, enjoyable, and supportive work environment. Here, we prioritize caring for and supporting one another, promoting career growth and a positive experience working together. We provides:Fully Parking Claim5G Halo Telco Monthly Subscription (RM50/m)RM50k Zurich & Tune Protect InsuranceUnforgettable Team Building Experience Awaits You.Career Growth Opportunity Awaits with Ready Career LadderAnnual Leave (16days/year) Medical Benefits cover expenses for Medical Check-ups, Dental Claims, and Optical needs, including contact lenses!Company Incentive TripAnnual IncrementAnnual BonusSport TeamLeisure AreaUnlimited Coffee, Snacks, and FoodSmart Casual Dress Code",4000,KUALA LUMPUR,KUALA LUMPUR
IT Executive,Core Fusion Sdn Bhd,KUALA LUMPUR,Management (Information & Communication Technology),Full time,4000-5000,"Position Overview: As an IT Executive, you will play a major role in maintaining and improving organization’s IT and software infrastructure. This position requires excellent IT knowledge and effective communication skills. You will collaborate with cross-functional teams, including sales, marketing, and operation, to ensure reliable, secure and up-to-date IT system in place. ResponsibilityMaintain, keep track and ensure IT infrastructure are in good order (laptop, monitors, IT equipment)Troubleshoot and identify solutions on day-to-day operational issues.Ensure company system and network are protected against any threatInstalling and configuring computer hardware, software, systems, networks, printers and scanners.Check and test software deliveries and releases.Setup and format laptop for team members.Manage and maintain cloud server network and stability.Define the scope for new functions and system to better support company sales and operationAny other tasks assigned to you from time to time. Qualifications:Diploma /Degree in IT Technology, Computer Science or other related fields.Minimum 2-3 years of working experience in network and system administration.Strong analytic skill Proficiency with Windows environment is a must.Experience in Microsoft 365 Admin.Good understating of TCP/IP, Firewalls, IPsec Site-to-Site VPN, SSL VPN.Familiar with NAS, SAN and other enterprise grade storage solutions is a plus.Able to work independently with minimal supervision.Able to work after office hours and weekends as and when needed.Fluent spoken and written in English and Mandarin",4500,KUALA LUMPUR,KUALA LUMPUR
QA Engineer,YouTrip,KUALA LUMPUR,Testing & Quality Assurance (Information & Communication Technology),Full time,3750-5000,"YouTrip (www.you.co) is a Southeast Asian-focused fintech, dedicated to creating the next generation of digital financial services for the region. With its consumer and corporate products, YouTrip and YouBiz, the company empowers users with the most affordable and convenient financial innovations. The company is a Major Payment Institution licensed by the Monetary Authority of Singapore (MAS), and owns principal memberships and issuing licences with two of the largest card schemes, MasterCard and Visa. It was recognised as a Top FinTech Leader at the SFF Global FinTech Awards 2021 and awarded Best Multi-Currency Mobile Wallet Provider at the APAC Insider’s 2022 Singapore.Our culture is entrepreneurial, open & inclusive, and teamwork-oriented. We are looking for talents with the aspiration to thrive in a rapidly growing business in the exciting FinTech space.We are looking for a skilled Quality Assurance Engineer, with customer focussed mindset, to join our team and ensure the high quality of our systems and products. As a Quality Assurance Engineer, you will be responsible for planning, scripting, and executing comprehensive functional, performance, and regression testing to maintain the integrity of our systems and products.Responsibilities:Collaborate with stakeholders to thoroughly understand end-to-end requirements and translate them into effective test plans and test cases.Develop, execute, and maintain test plans, test cases, and test scripts.Identify and document QA best practices tailored to the team and company.Handle and manage the release process, continuously optimising it for efficiency and reliability.Conduct User Acceptance Testing (UAT) while integrating our software with partner/vendor systems.Contribute to the development and maintenance of scripts and tools for automated testing, deployment, and monitoring.Play an active role in enhancing our testing and deployment processes, including the implementation of a robust deployment gatekeeping process.Requirements:Proven experience in planning and executing functional, performance, and regression testing.Strong ability to evaluate both functional and non-functional requirements to define testing scope.Excellent collaboration skills to work effectively with stakeholders and understand project requirements.Proficiency in creating and maintaining test plans, test cases, and test scripts.Familiarity with QA best practices and a willingness to share and document them for the team.Experience in handling release processes and continuously optimising them.Knowledge of User Acceptance Testing (UAT) and integrating software with partner/vendor systems.Having experience automating with Java (or any other coding language), JavaScript, Selenium/Appium or BrowserStackHaving experience on any API testing Tool (ex Postman)Having finance domain knowledge or experience would be advantageTo apply:If you are interested in this position, click Apply Now on Jobstreet or please send your resume to wearehiring@you.co, quoting QA Engineer (Remote) in the subject header. ",4375,KUALA LUMPUR,KUALA LUMPUR
